"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4688","0.0690","1600000US3736220","Kure Beach town, North Carolina"
"0.4292","0.0831","1600000US3736400","La Grange town, North Carolina"
"0.3463","0.0627","1600000US3736480","Lake Junaluska CDP, North Carolina"
"0.5111","0.0390","1600000US3736500","Lake Lure town, North Carolina"
"0.4968","0.0467","1600000US3736510","Lake Norman of Catawba CDP, North Carolina"
"0.4867","0.0398","1600000US3736511","Lake Norman of Iredell CDP, North Carolina"
"0.3057","0.0376","1600000US3736512","Lake Park village, North Carolina"
"0.3873","0.0717","1600000US3736513","Lake Royale CDP, North Carolina"
"0.2746","0.1390","1600000US3736514","Lake Santeetlah town, North Carolina"
"0.4872","0.0494","1600000US3736640","Lake Waccamaw town, North Carolina"
"0.3700","0.0477","1600000US3736860","Landis town, North Carolina"
"0.3654","0.1382","1600000US3736960","Lansing town, North Carolina"
"0.3971","0.1030","1600000US3737000","Lasker town, North Carolina"
"0.3568","0.0856","1600000US3737040","Lattimore town, North Carolina"
"0.4058","0.0536","1600000US3737120","Laurel Hill CDP, North Carolina"
"0.4431","0.0504","1600000US3737160","Laurel Park town, North Carolina"
"0.5546","0.0495","1600000US3737220","Laurinburg city, North Carolina"
"0.5411","0.1442","1600000US3737260","Lawndale town, North Carolina"
"0.6394","0.5997","1600000US3737640","Leggett town, North Carolina"
"0.3639","0.0264","1600000US3737680","Leland town, North Carolina"
"0.4481","0.0322","1600000US3737760","Lenoir city, North Carolina"
"0.5584","0.2086","1600000US3738030","Lewiston Woodville town, North Carolina"
"0.4740","0.0571","1600000US3738040","Lewisville town, North Carolina"
"0.4344","0.0222","1600000US3738060","Lexington city, North Carolina"
"0.4486","0.0464","1600000US3738100","Liberty town, North Carolina"
"0.4102","0.1872","1600000US3738170","Light Oak CDP, North Carolina"
"0.4181","0.0967","1600000US3738200","Lilesville town, North Carolina"
